name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Guadalajara,1980-01-01,24.1,0.1,15.2,24.1,0.1,15.2,4.3,50.4,0,0,0,,,,,10.7,210,1013.8,30,21.2,,,,,1980-01-01T07:29:51,1980-01-01T18:23:49,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76613199999,76612099999"
Guadalajara,1980-01-02,23.1,8.1,16.3,23.1,8.1,16.3,7.6,59.5,0,0,0,,,,,27.7,229.4,1011.6,22.3,17.1,,,,,1980-01-02T07:30:11,1980-01-02T18:24:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76613199999,76612099999"
Guadalajara,1980-01-03,20.1,3.1,11.3,20.1,3.1,11.3,4.5,68.5,0,0,0,,,,,18.4,284.1,1012.9,10.8,15,,,,,1980-01-03T07:30:29,1980-01-03T18:25:04,0.54,Clear,Clear conditions throughout the day.,clear-day,"76613199999,76612099999"
Guadalajara,1980-01-04,22.1,2.1,11.4,22.1,2.1,11.4,1.1,54.9,0,0,0,,,,,18.4,110.1,1015.8,28.3,16.4,,,,,1980-01-04T07:30:46,1980-01-04T18:25:42,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"76613199999,76612099999"
Guadalajara,1980-01-05,24.1,0.1,15.6,24.1,0.1,15.6,1.8,43.7,0,0,0,,,,,34.9,134.8,1016.8,26,17.4,,,,,1980-01-05T07:31:02,1980-01-05T18:26:21,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76613199999,76612099999"
Guadalajara,1980-01-06,25.1,2.1,13.6,25.1,2.1,13.6,3.2,54.6,0,0,0,,,,,36.7,262.3,1015.1,0,16.9,,,,,1980-01-06T07:31:17,1980-01-06T18:27:00,0.64,Clear,Clear conditions throughout the day.,clear-day,"76613199999,76612099999"
Guadalajara,1980-01-07,25.1,4.1,14.4,25.1,4.1,14.4,5.2,56.7,0,0,0,,,,,40.7,260,1014.6,42.3,17.8,,,,,1980-01-07T07:31:30,1980-01-07T18:27:39,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76613199999,76612099999"
Guadalajara,1980-01-08,27.1,4.1,15.2,26.3,4.1,15.2,4.2,51.7,0,0,0,,,,,27.7,276.6,1014.6,5.2,18.4,,,,,1980-01-08T07:31:43,1980-01-08T18:28:19,0.71,Clear,Clear conditions throughout the day.,clear-day,"76613199999,76612099999"
Guadalajara,1980-01-09,27.1,4.1,15.8,26.2,4.1,15.7,4.3,52,0,0,0,,,,,36.7,284,1016,0.9,17.4,,,,,1980-01-09T07:31:54,1980-01-09T18:28:59,0.74,Clear,Clear conditions throughout the day.,clear-day,"76613199999,76612099999"
Guadalajara,1980-01-10,26.1,4.1,15.1,26.1,4.1,15.1,3.9,52,0,0,0,,,,,27.7,305.2,1017,55.6,18.6,,,,,1980-01-10T07:32:04,1980-01-10T18:29:39,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76613199999,76612099999"
Guadalajara,1980-01-11,27.1,3.1,14,26.3,3.1,13.9,4.4,57.5,0,0,0,,,,,27.7,323,1017.1,0,17.7,,,,,1980-01-11T07:32:12,1980-01-11T18:30:19,0.8,Clear,Clear conditions throughout the day.,clear-day,"76613199999,76612099999"
Guadalajara,1980-01-12,28.1,2.1,14.6,26.8,2.1,14.5,2.7,50,0,0,0,,,,,22,286.4,1014.9,8.2,17.6,,,,,1980-01-12T07:32:19,1980-01-12T18:30:59,0.83,Clear,Clear conditions throughout the day.,clear-day,"76613199999,76612099999"
Guadalajara,1980-01-13,27.1,5.1,15.7,26.2,5.1,15.6,3.6,49.6,0,0,0,,,,,18.4,303.9,1012.2,0,17.4,,,,,1980-01-13T07:32:25,1980-01-13T18:31:39,0.87,Clear,Clear conditions throughout the day.,clear-day,"76613199999,76612099999"
Guadalajara,1980-01-14,27.1,6.1,16.4,26.5,6.1,16.3,6.5,55.5,0,0,0,,,,,46.1,193,1013.7,0,18,,,,,1980-01-14T07:32:30,1980-01-14T18:32:20,0.9,Clear,Clear conditions throughout the day.,clear-day,"76613199999,76612099999"
Guadalajara,1980-01-15,26.1,6.2,17.7,26.1,6.2,17.7,7.3,53.2,0,0,0,,,,,27.7,262.2,1014,7.6,17.5,,,,,1980-01-15T07:32:33,1980-01-15T18:33:00,0.93,Clear,Clear conditions throughout the day.,clear-day,"76613199999,76612099999"
Guadalajara,1980-01-16,25.1,3.1,15.3,25.1,3.1,15.3,4.5,48.4,0,0,0,,,,,44.3,236.3,1013.9,5.7,18,,,,,1980-01-16T07:32:35,1980-01-16T18:33:41,0.96,Clear,Clear conditions throughout the day.,clear-day,"76613199999,76612099999"
Guadalajara,1980-01-17,25.1,5.1,15.2,25.1,5.1,15.2,4.6,54.2,0,0,0,,,,,18.4,276.1,1013.2,0,17.8,,,,,1980-01-17T07:32:36,1980-01-17T18:34:21,0,Clear,Clear conditions throughout the day.,clear-day,"76613199999,76612099999"
