name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Villahermosa,1980-01-01,22.1,19.1,21.1,22.1,19.1,21.1,20.1,94,4,100,4.17,rain,,,,18.4,75.5,1018.8,92,8.7,,,,,1980-01-01T06:43:04,1980-01-01T17:47:16,0.48,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"76744199999,76743099999"
Villahermosa,1980-01-02,23.1,17.1,20.7,23.1,17.1,20.7,16.4,76.2,0,0,0,,,,,22,71.6,1015.7,0,11.5,,,,,1980-01-02T06:43:24,1980-01-02T17:47:52,0.5,Clear,Clear conditions throughout the day.,clear-day,"76744199999,76743099999"
Villahermosa,1980-01-03,26.1,17.1,22.3,26.1,17.1,22.3,18.1,84.8,0,0,0,,,,,0,,1011.4,0,12.2,,,,,1980-01-03T06:43:44,1980-01-03T17:48:28,0.54,Clear,Clear conditions throughout the day.,clear-day,"76744199999,76743099999"
Villahermosa,1980-01-04,23.1,20.1,21.3,23.1,20.1,21.3,19.4,95.2,0.2,100,4.17,rain,,,,18.4,296.6,1016.1,93.8,8.2,,,,,1980-01-04T06:44:03,1980-01-04T17:49:05,0.58,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"76744199999,76743099999"
Villahermosa,1980-01-05,21.6,18.1,20.2,21.6,18.1,20.2,19.1,88.6,0,0,0,,,,,18.4,80.4,1019.9,100,8.4,,,,,1980-01-05T06:44:20,1980-01-05T17:49:42,0.61,Overcast,Cloudy skies throughout the day.,cloudy,"76744199999,76743099999"
Villahermosa,1980-01-06,23.6,19.1,21.7,23.6,19.1,21.7,17.1,71.8,0,0,0,,,,,18.4,69.8,1017.4,14.6,13,,,,,1980-01-06T06:44:37,1980-01-06T17:50:19,0.64,Clear,Clear conditions throughout the day.,clear-day,"76744199999,76743099999"
Villahermosa,1980-01-07,26.8,17.1,22.8,28.3,17.1,22.9,18.1,85.1,0,0,0,,,,,14.8,74,1012.1,0,10.1,,,,,1980-01-07T06:44:52,1980-01-07T17:50:56,0.67,Clear,Clear conditions throughout the day.,clear-day,"76744199999,76743099999"
Villahermosa,1980-01-08,28.1,20.1,25.1,30.8,20.1,25.8,22.1,67.7,0,0,0,,,,,10.8,74.4,1011.7,5,13,,,,,1980-01-08T06:45:07,1980-01-08T17:51:34,0.71,Clear,Clear conditions throughout the day.,clear-day,"76744199999,76743099999"
Villahermosa,1980-01-09,26.1,21.1,24.4,26.1,21.1,24.4,21.6,86.9,0,0,0,,,,,14.8,299.4,1015.7,95,5.1,,,,,1980-01-09T06:45:20,1980-01-09T17:52:11,0.74,Overcast,Cloudy skies throughout the day.,cloudy,"76744199999,76743099999"
Villahermosa,1980-01-10,28.6,22.1,26,32.2,22.1,27.2,22.1,79.2,12,100,8.33,rain,,,,7.1,180,1014.6,88.7,7.8,,,,,1980-01-10T06:45:32,1980-01-10T17:52:49,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"76744199999,76743099999"
Villahermosa,1980-01-11,29.1,13.1,24.7,33.7,13.1,25.7,19.7,79.6,0,0,0,,,,,27.7,86.5,1013.3,10.7,14,,,,,1980-01-11T06:45:43,1980-01-11T17:53:27,0.8,Clear,Clear conditions throughout the day.,clear-day,"76744199999,76743099999"
Villahermosa,1980-01-12,25.1,22.1,24.2,25.1,22.1,24.2,22.8,88.8,0,0,0,,,,,14.8,308.1,1014.5,82.9,6.3,,,,,1980-01-12T06:45:52,1980-01-12T17:54:05,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76744199999,76743099999"
Villahermosa,1980-01-13,25.1,22.1,23.8,25.1,22.1,23.8,21.6,84.4,0,0,0,,,,,14.8,266.6,1013.8,96.4,7,,,,,1980-01-13T06:46:01,1980-01-13T17:54:43,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"76744199999,76743099999"
Villahermosa,1980-01-14,27.6,21.1,24.4,30.1,21.1,25.1,21.1,81.7,0,0,0,,,,,14.8,79.9,1014.3,89.9,6.2,,,,,1980-01-14T06:46:08,1980-01-14T17:55:21,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76744199999,76743099999"
Villahermosa,1980-01-15,29.1,22.1,26.1,32.9,22.1,27.4,22.1,78.2,0,0,0,,,,,14.8,79.3,1013.6,65.2,8.8,,,,,1980-01-15T06:46:14,1980-01-15T17:55:58,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76744199999,76743099999"
Villahermosa,1980-01-16,30.1,23.1,27.3,34.5,23.1,29.3,22.4,74.2,0,0,0,,,,,13,84.4,1010.8,18.3,11.4,,,,,1980-01-16T06:46:19,1980-01-16T17:56:36,0.96,Clear,Clear conditions throughout the day.,clear-day,"76744199999,76743099999"
Villahermosa,1980-01-17,28.1,25,26.5,32.2,25,28.3,22.6,80,0,0,0,,,,,14.8,15.7,1011.1,70.7,7.8,,,,,1980-01-17T06:46:22,1980-01-17T17:57:14,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76744199999,76743099999"
Villahermosa,1980-01-18,27.8,22.1,24.5,31,22.1,24.9,22.4,86.1,0,0,0,,,,,33.1,353,1013.6,67.5,6.4,,,,,1980-01-18T06:46:25,1980-01-18T17:57:51,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76744199999,76743099999"
Villahermosa,1980-01-19,28.1,21.1,25.6,30.8,21.1,26.5,21.4,78.3,0,0,0,,,,,18.4,28.8,1015.5,76.2,8.2,,,,,1980-01-19T06:46:26,1980-01-19T17:58:28,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76744199999,76743099999"
Villahermosa,1980-01-20,27.6,23.1,26.1,29.6,23.1,27.1,21.1,69.3,0,0,0,,,,,25.9,69.9,1012.7,72.9,11.5,,,,,1980-01-20T06:46:26,1980-01-20T17:59:05,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76744199999,76743099999"
